OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
3526,207305,44000,Los Angeles,Downtown,20730544000Downtown,2182607.96,8262.439763
3527,207306,44000,Los Angeles,Downtown,20730644000Downtown,1736961.509,5647.499109
3528,207307,44000,Los Angeles,Downtown,20730744000Downtown,525888.2441,2911.02044
3529,207308,44000,Los Angeles,Downtown,20730844000Downtown,494198.7041,2815.58601
3530,207400,44000,Los Angeles,Downtown,20740044000Downtown,9358160.465,15170.84275
3531,207501,44000,Los Angeles,Downtown,20750144000Downtown,1445861.749,4896.734751
3532,207502,44000,Los Angeles,Downtown,20750244000Downtown,4503356.152,9155.740185
3533,207711,44000,Los Angeles,Downtown,20771144000Downtown,7470191.821,14747.40775
3534,207712,44000,Los Angeles,Downtown,20771244000Downtown,4383833.967,9437.966004
3535,207901,44000,Los Angeles,Downtown,20790144000Downtown,2187364.009,6858.664929
3536,207902,44000,Los Angeles,Downtown,20790244000Downtown,7532284.174,11167.80064
3537,208001,44000,Los Angeles,Temple-Beaudry,20800144000Temple-Beaudry,6200267.327,11658.82002
3538,208002,44000,Los Angeles,Temple-Beaudry,20800244000Temple-Beaudry,4253668.543,9520.275323
3539,208301,44000,Los Angeles,Temple-Beaudry,20830144000Temple-Beaudry,1000517.733,5183.036072
3540,208302,44000,Los Angeles,Historic Filipinotown,20830244000Historic Filipinotown,2623331.208,7005.076965
3541,208302,44000,Los Angeles,Temple-Beaudry,20830244000Temple-Beaudry,2111864.511,5619.152972
3542,208401,44000,Los Angeles,Temple-Beaudry,20840144000Temple-Beaudry,2472158.345,6288.248284
3543,208402,44000,Los Angeles,Historic Filipinotown,20840244000Historic Filipinotown,3671870.677,8621.419712
3544,208501,44000,Los Angeles,Historic Filipinotown,20850144000Historic Filipinotown,2617935.643,6561.487221
3545,208502,44000,Los Angeles,Temple-Beaudry,20850244000Temple-Beaudry,2809715.463,6778.929751
3546,208610,44000,Los Angeles,Historic Filipinotown,20861044000Historic Filipinotown,2324100.358,6144.801369
3547,208610,44000,Los Angeles,Temple-Beaudry,20861044000Temple-Beaudry,1444484.896,5051.567763
3548,208620,44000,Los Angeles,Historic Filipinotown,20862044000Historic Filipinotown,1540179.221,4997.06027
3549,208620,44000,Los Angeles,Temple-Beaudry,20862044000Temple-Beaudry,1950825.105,5669.452518
3550,208710,44000,Los Angeles,Westlake,20871044000Westlake,1834029.279,5648.956125
3551,208720,44000,Los Angeles,Westlake,20872044000Westlake,1773090.481,6918.808402
3552,208801,44000,Los Angeles,Westlake,20880144000Westlake,2889597.505,7802.302208
3553,208802,44000,Los Angeles,Westlake,20880244000Westlake,2276497.561,7699.510312
3554,208902,44000,Los Angeles,Westlake,20890244000Westlake,1981074.278,5658.695104
3555,208903,44000,Los Angeles,Westlake,20890344000Westlake,1714525.03,7038.477364
3556,208904,44000,Los Angeles,Westlake,20890444000Westlake,1206684.002,4564.78245
3557,209103,44000,Los Angeles,Westlake,20910344000Westlake,1334883.543,4693.771603
3558,209104,44000,Los Angeles,Westlake,20910444000Westlake,753048.3975,3841.215743
3559,209105,44000,Los Angeles,Westlake,20910544000Westlake,895832.0967,4013.336593
3560,209106,44000,Los Angeles,Westlake,20910644000Westlake,2385508.822,6257.588486
3561,209201,44000,Los Angeles,Westlake,20920144000Westlake,1810243.153,5620.431571
3562,209202,44000,Los Angeles,Westlake,20920244000Westlake,2615714.191,6576.900924
3563,209300,44000,Los Angeles,Westlake,20930044000Westlake,3296913.549,7929.01284
3564,209401,44000,Los Angeles,Westlake,20940144000Westlake,2321323.247,6370.620793
3565,209402,44000,Los Angeles,Westlake,20940244000Westlake,1466365.413,4850.005124
3566,209403,44000,Los Angeles,Westlake,20940344000Westlake,1487539.157,4882.338325
3567,209510,44000,Los Angeles,Pico-Union,20951044000Pico-Union,1964250.131,5807.558837
3568,209520,44000,Los Angeles,Pico-Union,20952044000Pico-Union,2488318.48,6468.383067
3569,209810,44000,Los Angeles,Pico-Union,20981044000Pico-Union,1612737.665,5415.906958
3570,209820,44000,Los Angeles,Pico-Union,20982044000Pico-Union,1927868.325,5690.534786
3571,210010,44000,Los Angeles,Pico-Union,21001044000Pico-Union,4402346.403,8913.805773
3572,211000,44000,Los Angeles,Hancock Park,21100044000Hancock Park,28596608.92,25170.3917
3573,211121,44000,Los Angeles,Wilshire Center,21112144000Wilshire Center,2302745.882,7589.305507
3574,211122,44000,Los Angeles,Wilshire Center,21112244000Wilshire Center,3934719.229,8274.025851
3575,211123,44000,Los Angeles,Wilshire Center,21112344000Wilshire Center,1851763.223,6798.355121
3576,211124,44000,Los Angeles,Wilshire Center,21112444000Wilshire Center,4252171.771,8179.68931
3577,211201,44000,Los Angeles,Wilshire Center,21120144000Wilshire Center,1500139.474,4915.854729
3578,211202,44000,Los Angeles,Wilshire Center,21120244000Wilshire Center,1928508.229,5559.55033
3579,211310,44000,Los Angeles,Wilshire Center,21131044000Wilshire Center,1549285.413,4998.254248
3580,211320,44000,Los Angeles,Wilshire Center,21132044000Wilshire Center,2005003.908,5674.535158
3581,211410,44000,Los Angeles,Wilshire Center,21141044000Wilshire Center,2914762.843,7500.820641
3582,211420,44000,Los Angeles,Wilshire Center,21142044000Wilshire Center,4101870.443,8393.53387
3583,211500,44000,Los Angeles,Hancock Park,21150044000Hancock Park,9784657.085,13106.00696
3584,211701,44000,Los Angeles,Hancock Park,21170144000Hancock Park,7012736.502,10536.99023
3585,211703,44000,Los Angeles,Wilshire Center,21170344000Wilshire Center,1981626.616,5697.169574
3586,211704,44000,Los Angeles,Wilshire Center,21170444000Wilshire Center,1990774.689,5747.670756
3587,211802,44000,Los Angeles,Little Bangladesh,21180244000Little Bangladesh,3502643.732,7938.310244
3588,211803,44000,Los Angeles,Little Bangladesh,21180344000Little Bangladesh,1501838.276,4915.90138
3589,211804,44000,Los Angeles,Little Bangladesh,21180444000Little Bangladesh,2001676.114,5672.159796
3590,211910,44000,Los Angeles,Little Bangladesh,21191044000Little Bangladesh,1484986.828,4890.339461
3591,211921,44000,Los Angeles,Little Bangladesh,21192144000Little Bangladesh,997361.5156,4152.054761
3592,211922,44000,Los Angeles,Little Bangladesh,21192244000Little Bangladesh,999895.0137,4155.407367
3593,212101,44000,Los Angeles,Little Bangladesh,21210144000Little Bangladesh,1999605.559,5669.838364
3594,212102,44000,Los Angeles,Little Bangladesh,21210244000Little Bangladesh,1492502.873,4902.782894
