City,County,2018,2019,2020,2021,2022,Average
ARCADIA,"LOS ANGELES",273,269,187,218,244,238.2
ROSEMEAD,"LOS ANGELES",293,279,187,197,220,235.2
GARDENA,"LOS ANGELES",319,279,249,306,10,232.6
"SOUTH SAN FRANCISCO","SAN MATEO",285,272,147,205,248,231.4
"REDONDO BEACH","LOS ANGELES",256,226,176,231,261,230.0
INDIO,RIVERSIDE,312,280,190,180,180,228.4
BREA,ORANGE,292,243,198,206,195,226.8
BURBANK,"LOS ANGELES",171,173,113,122,541,224.0
"CULVER CITY","LOS ANGELES",377,357,191,88,107,224.0
"LAKE ELSINORE",RIVERSIDE,240,237,189,244,207,223.4
PARAMOUNT,"LOS ANGELES",244,202,168,249,244,221.4
IRWINDALE,"LOS ANGELES",259,258,177,209,194,219.4
PITTSBURG,"CONTRA COSTA",279,264,184,159,198,216.8
FOLSOM,SACRAMENTO,248,245,185,179,200,211.4
"LA HABRA",ORANGE,255,227,125,199,247,210.6
AZUSA,"LOS ANGELES",276,224,173,181,188,208.4
PETALUMA,SONOMA,237,247,142,188,213,205.4
"WEST HOLLYWOOD","LOS ANGELES",234,223,137,191,223,201.6
BELL,"LOS ANGELES",232,234,158,189,184,199.4
ENCINITAS,"SAN DIEGO",217,249,174,165,191,199.2
"APPLE VALLEY","SAN BERNARDINO",141,196,223,217,217,198.8
"SAN JACINTO",RIVERSIDE,197,199,174,201,215,197.2
GILROY,"SANTA CLARA",244,234,143,172,192,197.0
"PALM DESERT",RIVERSIDE,176,180,159,231,230,195.2
MONTEBELLO,"LOS ANGELES",327,334,103,57,138,191.8
MONROVIA,"LOS ANGELES",220,220,158,159,179,187.2
"LAKE FOREST",ORANGE,194,192,143,204,193,185.2
CLAREMONT,"LOS ANGELES",198,203,164,164,184,182.6
EASTVALE,RIVERSIDE,225,209,160,149,166,181.8
"UNION CITY",ALAMEDA,192,179,158,194,159,176.4
INDUSTRY,"LOS ANGELES",225,181,132,198,133,173.8
DAVIS,YOLO,200,221,116,164,165,173.2
"SAN LUIS OBISPO","SAN LUIS OBISPO",191,198,103,194,178,172.8
EUREKA,HUMBOLDT,189,197,158,158,159,172.2
"HUNTINGTON PARK","LOS ANGELES",167,205,152,166,171,172.2
HIGHLAND,"SAN BERNARDINO",155,154,172,189,186,171.2
HANFORD,KINGS,181,179,144,172,174,170.0
"SAN CLEMENTE",ORANGE,178,153,118,178,218,169.0
CERES,STANISLAUS,195,180,152,170,146,168.6
VERNON,"LOS ANGELES",189,188,132,151,174,166.8
YUCAIPA,"SAN BERNARDINO",191,182,156,149,155,166.6
"LOS BANOS",MERCED,163,166,142,180,169,164.0
"SAN RAMON","CONTRA COSTA",234,187,107,108,183,163.8
"MENLO PARK","SAN MATEO",200,212,108,120,165,161.0
"LAGUNA HILLS",ORANGE,184,170,130,152,159,159.0
MADERA,MADERA,150,146,153,190,151,158.0
NOVATO,MARIN,182,184,117,119,150,150.4
"SANTA CRUZ","SANTA CRUZ",184,194,90,135,144,149.4
"SIGNAL HILL","LOS ANGELES",155,163,127,132,164,148.2
"PICO RIVERA","LOS ANGELES",163,143,106,148,173,146.6
"SAN DIMAS","LOS ANGELES",168,167,125,125,138,144.6
MONTEREY,MONTEREY,194,187,95,101,145,144.4
CUPERTINO,"SANTA CLARA",210,155,101,93,163,144.4
BRENTWOOD,"CONTRA COSTA",168,152,120,141,137,143.6
"LA MIRADA","LOS ANGELES",169,154,107,135,136,140.2
ROCKLIN,PLACER,145,143,110,138,149,137.0
"BELL GARDENS","LOS ANGELES",155,146,94,130,155,136.0
MALIBU,"LOS ANGELES",136,127,134,150,132,135.8
"SAN GABRIEL","LOS ANGELES",172,178,89,127,113,135.8
WOODLAND,YOLO,139,158,131,127,119,134.8
LODI,"SAN JOAQUIN",143,148,112,139,130,134.4
GOLETA,"SANTA BARBARA",153,151,115,125,127,134.2
CYPRESS,ORANGE,166,172,96,102,129,133.0
"SAN BRUNO","SAN MATEO",167,175,96,113,112,132.6
ALAMEDA,ALAMEDA,174,172,151,140,11,129.6
"LAGUNA NIGUEL",ORANGE,162,126,95,128,137,129.6
WATSONVILLE,"SANTA CRUZ",146,120,110,131,136,128.6
"SEAL BEACH",ORANGE,195,160,109,81,94,127.8
BEAUMONT,RIVERSIDE,122,148,109,95,158,126.4
LATHROP,"SAN JOAQUIN",129,147,100,129,109,122.8
NEWARK,ALAMEDA,150,144,82,117,119,122.4
"LOS GATOS","SANTA CLARA",154,136,106,106,108,122.0
"MORGAN HILL","SANTA CLARA",162,139,83,110,114,121.6
"SAN PABLO","CONTRA COSTA",142,153,98,84,119,119.2
"EAST PALO ALTO","SAN MATEO",138,130,107,98,104,115.4
OROVILLE,BUTTE,127,154,106,102,87,115.2
"SAN JUAN CAPISTRANO",ORANGE,131,123,80,115,126,115.0
"PLEASANT HILL","CONTRA COSTA",147,115,81,100,128,114.2
DUBLIN,ALAMEDA,127,140,72,108,113,112.0
"CHINO HILLS","SAN BERNARDINO",110,132,100,100,118,112.0
"LEMON GROVE","SAN DIEGO",95,104,92,129,138,111.6
PLACENTIA,ORANGE,92,25,115,171,150,110.6
BANNING,RIVERSIDE,94,84,95,115,162,110.0
"EL CENTRO",IMPERIAL,115,118,87,108,118,109.2
"CATHEDRAL CITY",RIVERSIDE,143,139,92,86,85,109.0
LOMPOC,"SANTA BARBARA",116,115,89,117,103,108.0
MARTINEZ,"CONTRA COSTA",100,119,98,109,112,107.6
"ROHNERT PARK",SONOMA,129,108,65,103,122,105.4
